Organization,Category,Meeting Day,Meeting Time,Location,Members
Vietnamese Student Association,Cultural and International,,Bi-Weekly Tuesday 5:30PM,CASE E240,6
American Conservation Coalition Boulder,Environmental,,4th Wednesday of every month @ 7pm,HLMS 104-CC,38
Buffs Against Food Waste,Environmental,,,,3
Colorado Ocean Coalition,Environmental,,Biweekly: Tuesdays 7-8PM,DUANE G131 and Zoom Option Available,59
CU Boulder Chapter of the American Water Resources Association,Environmental,,9/1/2022,Guggenheim Geography/SEEC/Zoom,33
CU Boulder Energy and Sustainability Society,Environmental,,Every other Monday from 6:45pm-7:45pm,UMC 418,24
CU Energy Club,Environmental,,,,104
CU Farm & Garden Club,Environmental,,,,104
CU Wildlife Club,Environmental,,,,174
EcoReps: Sustainability Leadership Program,Environmental,,,,37
Green Consulting Group,Environmental,,,,4
Industrial Design Society of America CU Boulder,Environmental,,,,7
Student Affiliate Chapter of the American Society of Landscape Architects at CU Boulder,Environmental,,,,7
The Society of Environmental Engineers,Environmental,,,,26
Arts and Sciences Student Government,Governing Body,,,,22
CMCI Student Government,Governing Body,,,,22
College of Music Student Government,Governing Body,,,,2
CU Student Government,Governing Body,,,,54
Environmental Design Student Government,Governing Body,,,,4
Graduate and Professional Student Government,Governing Body,,,,8
Interfraternity Council,Governing Body,,,,12
Leeds Student Government,Governing Body,,,,13
MBA Association,Governing Body,,,,1
Panhellenic Council,Governing Body,,,,4
Residence Hall Association,Governing Body,,,,15
School of Education Student Government,Governing Body,,,,2
Student Bar Association,Governing Body,,,,6
Student Organizations Allocations Committee,Governing Body,,,,2
University of Colorado Boulder Engineering Council,Governing Body,,,,11
CU Boulder Democrats,Government & Politics,,6-7 pm on Tuesdays,Eaton Humanities (Room 190),12
CU Citizens' Climate Lobby,Government & Politics,,TBA,TBA,28
CU College Republicans,Government & Politics,,Thursday 6:00 PM MT - 7:00 PM MT,KOBL 342,36
CU Political Science Club,Government & Politics,,Tuesdays at 5:30pm,Hellems Room 211,39
Phi Alpha Delta Pre-Law Fraternity,Government & Politics,,5:30-6:30,Zoom: https://cuboulder.zoom.us/j/99742846893,179
Turning Point USA at the University of Colorado Boulder,Government & Politics,,Every Wednesday at 7:30 PM,CASE E220,5
Anthropology Graduate Student Association,Graduate and Professional Studies,,Monthly (exact dates tbd),Remote (Zoom) and in person,11
ATOC Graduate Students,Graduate and Professional Studies,,,,16
Black Graduate and Professional Student Association,Graduate and Professional Studies,,,,15
CHEMunity,Graduate and Professional Studies,,,,6
Computer Science Graduate Professional Development Club,Graduate and Professional Studies,,Mondays 5:00 to 6:00 PM,ECCR 150 and https://cuboulder.zoom.us/my/csgpdc,34
CSI Test Organization,Graduate and Professional Studies,,9AM - 10AM,CSI Office,1
CU Boulder Asian Studies Graduate Association,Graduate and Professional Studies,,Meetings when needed,On Zoom,2
CU Pre-Dental Society,Graduate and Professional Studies,,,,4
CU Student Academy of Audiology,Graduate and Professional Studies,,1:00-2:00 first Monday of the Month,wold law building 306,17
English Graduate Student Council,Graduate and Professional Studies,,,,3
Geological Sciences Graduate Association,Graduate and Professional Studies,,,,12
Information Science Graduate Student Association,Graduate and Professional Studies,,Last Wednesday of Every Month @ 3pm,Zoom [virtual] and INFO Science Building,5
National Student Speech Language Hearing Association,Graduate and Professional Studies,,,SLHS Building,5
Beta Theta Pi,"Greek Life, Fraternities, & Sororities",,,,13
Colorado Delta Chi,"Greek Life, Fraternities, & Sororities",,,,2
Delta Sigma Phi,"Greek Life, Fraternities, & Sororities",,,,20
Delta Tau Delta,"Greek Life, Fraternities, & Sororities",,,,5
Delta Upsilon,"Greek Life, Fraternities, & Sororities",,,,5
Phi Delta Theta,"Greek Life, Fraternities, & Sororities",,,,4
Phi Kappa Sigma,"Greek Life, Fraternities, & Sororities",,,,3
Sigma Alpha Mu,"Greek Life, Fraternities, & Sororities",,,,3
Sigma Chi Fraternity,"Greek Life, Fraternities, & Sororities",,,,3
Sigma Tau Gamma,"Greek Life, Fraternities, & Sororities",,,,0
"Emeralds of Kappa Delta Chi Sorority, Inc.","Greek Life, Fraternities, & Sororities",,,,12
Multicultural Greek Council,"Greek Life, Fraternities, & Sororities",,,,4
Pi Delta Psi Fraternity Incorporated,"Greek Life, Fraternities, & Sororities",,,,3
"Pi Lambda Chi Latina Sorority, Inc.","Greek Life, Fraternities, & Sororities",,,,5
Sigma Lambda Beta International Fraternity Incorporated,"Greek Life, Fraternities, & Sororities",,,,4
Sigma Lambda Gamma National Sorority Inc.,"Greek Life, Fraternities, & Sororities",,,,4
"Sigma Psi Zeta Sorority, Inc.","Greek Life, Fraternities, & Sororities",,,,7
"Tau Psi Omega Fraternity, Inc.","Greek Life, Fraternities, & Sororities",,,,7
"Theta Nu Xi, Multicultural Sorority, Inc.","Greek Life, Fraternities, & Sororities",,,,0
"Omega Psi Phi Fraternity, Inc","Greek Life, Fraternities, & Sororities",,,,1
Alpha Chi Omega,"Greek Life, Fraternities, & Sororities",,,,17
Alpha Delta Chi,"Greek Life, Fraternities, & Sororities",,,,4
Alpha Phi,"Greek Life, Fraternities, & Sororities",,,,7
Chi Omega,"Greek Life, Fraternities, & Sororities",,,,13
Delta Delta Delta,"Greek Life, Fraternities, & Sororities",,,,3
Delta Gamma Sorority,"Greek Life, Fraternities, & Sororities",,,,3
Gamma Phi Beta,"Greek Life, Fraternities, & Sororities",,,,2
"Kappa Alpha Theta, CU Boulder","Greek Life, Fraternities, & Sororities",,,,6
Kappa Kappa Gamma,"Greek Life, Fraternities, & Sororities",,,,2
Phi Mu,"Greek Life, Fraternities, & Sororities",,,,2
Pi Beta Phi,"Greek Life, Fraternities, & Sororities",,,,4
Sigma Alpha Epsilon Pi,"Greek Life, Fraternities, & Sororities",,,,4
Alpha Epsilon Delta,Honor Society,,Every Sunday at 6:30-7:30pm for actives (6-7:30pm for new members),HUMN 1B90,33
National Society of Leadership and Success,Honor Society,,,,6
National Society of Pershing Rifles Company B-9,Honor Society,,,,3
Omega Chi Epsilon - Alpha Xi Chapter,Honor Society,,,,4
Phi Sigma Pi - Delta Sigma Chapter,Honor Society,,,,6
Pi Sigma Alpha,Honor Society,,,,3
Psi Chi - CU Boulder Chapter,Honor Society,,,,47
Sigma Gamma Tau,Honor Society,,Monthly - exact time changes based on member availability,Aerospace Building on East Campus,5
Tau Sigma National Honor Society for Transfer Students,Honor Society,,,,7
The National Society of Collegiate Scholars,Honor Society,,,,20
The National Society of Scabbard and Blade,Honor Society,,Wednesdays @0700,Army ROTC Cadet Lounge,2
American Planning Association for Students,Humanities and Social Sciences,,Tuesdays @5pm (monthly),Third Floor of ENVD,7
Anthropology Club,Humanities and Social Sciences,,Wednesdays 5:30- 6:30pm,Hale Fourth Floor Library-- room 450,25
Creative Nonfiction Club,Humanities and Social Sciences,,,,9
CU Linguistics Club,Humanities and Social Sciences,,Mondays at 6:00 PM,Linguistics Conference Room (Hellems 285),17
CU Model United Nations,Humanities and Social Sciences,,6:00pm weekly on Thursdays,Muensinger E113,24
CU Psychology Club,Humanities and Social Sciences,,"Wednesdays, 6:00pm",In-person/Zoom,236
CU Quiz Bowl,Humanities and Social Sciences,,Wednesdays 6:15-9 PM,Duane G131,8
"Culture, Language, and Social Practice Program (CLASP)",Humanities and Social Sciences,,,,5
History Club,Humanities and Social Sciences,,Tuesday's from 5:30pm-7:00pm,Hellems 181,45
History Graduate Student Association,Humanities and Social Sciences,,,,2
Honors Journal Editorial Board,Humanities and Social Sciences,,,,5
Public Relations Student Society of America,Humanities and Social Sciences,,,,10
Rocky Mountain Interdisciplinary History Conference,Humanities and Social Sciences,,,,2
Sociology Club,Humanities and Social Sciences,,Thursday 5:00pm,CASE E351,4
Spanish and Portuguese Graduate Association,Humanities and Social Sciences,,,,2
Speech and Debate Team at CU Boulder,Humanities and Social Sciences,,,,31
TEDxCU,Humanities and Social Sciences,,As needed,,39
The Colorado Historian,Humanities and Social Sciences,,5:30 PM every other Thursday starting on 10/6/2022,"Online: https://cuboulder.zoom.us/j/5821142163, in person in Hellems 104",9
The Rocky Mountain Philosophy Conference,Humanities and Social Sciences,,Thursdays 3-4pm,remote,5
Women in Philosophy,Humanities and Social Sciences,,Thursdays at 6:00pm,HLMS 251,13
Arab Law Student Association,Law & Law School,,,,3
Asian Pacific American Law Students Association,Law & Law School,,,,3
Black Law Student Association,Law & Law School,,Wednesdays 12pm,,6
Breakthrough Student Group,Law & Law School,,,,3
Cannabis Law League,Law & Law School,,,,5
Class of 2025 Board,Law & Law School,,12:00pm,Wolf Law,7
Colorado Disability Justice Alliance,Law & Law School,,,,3
Colorado Law Animal Legal Defense Fund,Law & Law School,,,,3
CU Law Class of 2023,Law & Law School,,,,4
CU Mock Trial,Law & Law School,,,,39
Environmental Law Society,Law & Law School,,,Wolf Law Building,6
Family and Juvenile Law Club,Law & Law School,,,,3
Federalist Society for Law and Public Policy Studies,Law & Law School,,,,2
Health Law Society,Law & Law School,,,,6
If/When/How: Lawyering For Reproductive Justice,Law & Law School,,,,5
Immigration Law and Policy Society,Law & Law School,,,,3
International Moot Court,Law & Law School,,Tbd,Wolf Law,4
Korey Wise Innocence Project Student Group,Law & Law School,,,,1
Latinx Law Student Association,Law & Law School,,,,4
National Lawyers Guild,Law & Law School,,,,3
Native American Law Students Association,Law & Law School,,,,3
OUTLaw,Law & Law School,,"Alternating Mondays, 12:00 - 13:00 MST",N/A,5
Pre-Law Student Society,Law & Law School,,Wednesdays @ 5:30 pm,Wolf Law Room 411,4
Privacy Law Society,Law & Law School,,,,2
Public Interest Student Association,Law & Law School,,,,4
Silicon Flatirons Student Group,Law & Law School,,,,3
The Space Law Society,Law & Law School,,,,2
Women of Color Collective,Law & Law School,,,,4
Women's Law Caucus,Law & Law School,,,,10
Alpine Club at CU,Recreation & Wellness,,"We meet once a semester for a larger meeting, and then weekly for other events.","Campus, Boulder, Boulder area climbing areas, and other climbing areas around the west.",239
Aqua Buffs,Recreation & Wellness,,,,14
Backcountry Club at CU,Recreation & Wellness,,,,252
Backcountry Squatters,Recreation & Wellness,,8:00 PM Tuesdays,Bi-weekly Zoom,134
Boulder Barefoot Walkers,Recreation & Wellness,,,,23
Boulder Freeride,Recreation & Wellness,,,,507
Boulder Lifting Club,Recreation & Wellness,,"Thursdays, 6:30PM- Group lifts; Fridays, 6:30PM - Bulk Days; Saturdays, 6;30PM- Group lifts",University Of Colorado Boulder Recreation Center,174
Buff Axes,Recreation & Wellness,,TBD,,30
Buff Brain Gym,Recreation & Wellness,,7:00pm,HLMS 199,6
Buffalo Country Swing,Recreation & Wellness,,Wednesday 6:00-8:00,CU Boulder Recreation Center,6
Campus Reproductive Resources,Recreation & Wellness,,,,4
Capoeira Club,Recreation & Wellness,,Thursdays 6:00-7:30 PM,Rec Center Studio 1,13
Caving Club,Recreation & Wellness,,,,94
CHAARG,Recreation & Wellness,,Thursday 7:30 -8:30 pm,TBA in Weekly Newsletters,17
Colorado Law Adventure Club,Recreation & Wellness,,,,6
Colorado Ski Racing,Recreation & Wellness,,,,12
CU Boulder Esports,Recreation & Wellness,,,,48
CU Boulder Gymnastics Club,Recreation & Wellness,,,,9
CU Boulder Ice Skating Club,Recreation & Wellness,,Tuesday 6-7pm,Clare Small Room 104,106
CU Boulder Swing Dance,Recreation & Wellness,,7-10pm,Rec Center: Large Ice Rink Overlook Meeting Room,44
CU Bridge Club,Recreation & Wellness,,Monday 5-7 PM,HUME 190 Or UMC 386,11
CU Climbing Team,Recreation & Wellness,,,,23
CU Club Golf,Recreation & Wellness,,,,13
CU CRICKET,Recreation & Wellness,,,,20
CU Dance Party,Recreation & Wellness,,5-6 Wednesdays,,1
CU Disc Golf,Recreation & Wellness,,,,54
CU ED Support Group,Recreation & Wellness,,Mondays 7-8pm,Hellems 137,3
CU Equestrian Team,Recreation & Wellness,,,,17
CU Gaelic Club,Recreation & Wellness,,,,6
CU Gaming,Recreation & Wellness,,,UMC 134,157
CU Juggling Club,Recreation & Wellness,,4:00-6:00pm,"Farrand Field. In case of cold or bad weather, meetings take place in the lobby of Carlson Gymnasium.",12
CU Mountain Biking,Recreation & Wellness,,,,4
CU Poker Club,Recreation & Wellness,,7-8pm,Koebel,63
CU Powerlifting,Recreation & Wellness,,Thursdays @ Rec Center - 6:00pm | Fridays @ Gym5 - 6:30pm,CU Rec Center & Gym 5,97
CU Quadball,Recreation & Wellness,,10:00-12:00 Sundays,Duane Lawn,15
CU Racquetball,Recreation & Wellness,,,,1
CU Sailing,Recreation & Wellness,,,,43
CU Watermelon Club,Recreation & Wellness,,TBD,TBD,49
CU Windsports Club,Recreation & Wellness,,,,8
CU Wrestling Club,Recreation & Wellness,,11am-1pm Tuesday/Thursday,Mat Room (CU Rec Center),22
Hiking Club at CU Boulder,Recreation & Wellness,,,,293
Historical European Martial Arts at CU,Recreation & Wellness,,10:00,Martin Park (south Boulder),16
Kungfu Buff,Recreation & Wellness,,,,3
Magic: The Gathering Club,Recreation & Wellness,,"Mondays 6:30-10 PM, Thursdays 6-10 PM","Mondays Ketchum 1B87, Thursdays Ketchum 1B71",23
Nutrition Buffs,Recreation & Wellness,,5:00pm,Hellems 137,64
Pickup Soccer Club,Recreation & Wellness,,TBD,Kitt Field or The REC,27
Rocky Mountain Rescue Group CU Boulder Student Chapter,Recreation & Wellness,,7:00,University of Colorado,35
Shooting Sports at the University of Colorado,Recreation & Wellness,,,,4
SKY Campus Happiness @ CU Boulder,Recreation & Wellness,,,,14
Sportsman Club,Recreation & Wellness,,,,7
Table Tennis at CU,Recreation & Wellness,,Every tuesday and friday from 8pm to 10 pm,Rec Center Studio 4,55
Tea Club,Recreation & Wellness,,N/A,NA,36
The Game of Squash Organization,Recreation & Wellness,,Wedneseyday's at 7PM,Squash Courts in the basement of the Student Recreation Center,3
Track and Field Athletic Club,Recreation & Wellness,,,,26
University of Colorado Boulder Running Club,Recreation & Wellness,,,,86
University of Colorado Eventing Team,Recreation & Wellness,,,,4
Yoga for Creativity,Recreation & Wellness,,12:30 - 1 p.m. every Tuesday,Imig Music Building,105
CU Freeskiing Team,Recreation & Wellness,,,,94
Women's Club Soccer,Recreation & Wellness,,,,20
1825,Religion & Spirituality,,7:00pm,2221 Stonehenge Circle Lafayette,6
Asian American InterVarsity,Religion & Spirituality,,Every Thursday at 7pm,HUMN 190,10
Bhakti Yoga Club,Religion & Spirituality,,Wednesdays 6 PM,HLMS 191,71
Black Christians at CU,Religion & Spirituality,,6:30,TBD,13
Boulder Campus Ministry,Religion & Spirituality,,Wednesdays @7pm,Varies - Text or email for details,8
Bridges International,Religion & Spirituality,,,,3
Buffalo Catholic,Religion & Spirituality,,,,18
Campus Crusade for Christ,Religion & Spirituality,,,,6
Chi Alpha,Religion & Spirituality,,Thursdays at 7:00,TBD,4
Christian Buffalo Fellowship,Religion & Spirituality,,,,4
Christian Challenge,Religion & Spirituality,,Wednesday @7PM,TBD,4
Christian Legal Society,Religion & Spirituality,,,Wolf Law,4
CU Boulder Hillel,Religion & Spirituality,,,CU Boulder Hillel,29
Elohim Academy,Religion & Spirituality,,5:00 Thursdays,C.A.S.E Building,3
FHL Chinese Christian Fellowship,Religion & Spirituality,,,,2
InterVarsity Graduate Christian Fellowship,Religion & Spirituality,,,,7
Jewish Student Association,Religion & Spirituality,,,"909 14th Street, Boulder CO, 80302",7
Latter Day Saint Student Association,Religion & Spirituality,,,,1
Lighthouse Christian Bible Study,Religion & Spirituality,,5PM Fridays,UMC,4
Lutheran Campus Ministry,Religion & Spirituality,,Tuesdays at 6pm,St. Aidan's Episcopal Church,8
Muslim Student Association,Religion & Spirituality,,Thursdays 5:30-7,Hellems 211,22
Mystics: Tarot and Astrology,Religion & Spirituality,,Tuesdays at 6:00 pm,351UMC,74
Navigators,Religion & Spirituality,,"Thursdays, 7:30 pm (under normal circumstances)",,3
Orthodox Christian Fellowship,Religion & Spirituality,,,,6
SIT HAPPENS | CU MEDITATION & THE BUDDHIST PATH,Religion & Spirituality,,TBD (CHECK BACK FOR UPDATES 11/7),TBD (CHECK BACK FOR UPDATES 11/7),12
Student Mobilization,Religion & Spirituality,,7:00,TBD,1
The Annex,Religion & Spirituality,,Tuesdays 8:00 PM,Grace Commons Church,4
University Lutheran Chapel,Religion & Spirituality,,,,2
Andrews Hall,Residence Life,,,,13
Arnett Hall,Residence Life,,,,10
Baker Community Council,Residence Life,,,,1
Baker Hall,Residence Life,,,,16
Bear Creek & Weber Hall,Residence Life,,,,17
Bear Creek Community Council,Residence Life,,,,6
Buckingham Hall,Residence Life,,,,11
Cheyenne Arapaho Community Council,Residence Life,,,,4
Cheyenne Arapaho Hall,Residence Life,,,,17
Darley Community Council,Residence Life,,,,4
Darley Towers,Residence Life,,,,17
Design Your Path LLC,Residence Life,,,,2
Farrand Community Council,Residence Life,,,,2
Farrand Hall,Residence Life,,,,11
Hallett Community Council,Residence Life,,,,3
Hallett Hall,Residence Life,,,,18
Kitt Central & Andrews Community Council,Residence Life,,,,6
Kitt West & Arnett Community Council,Residence Life,,,,3
Kittredge Central Hall,Residence Life,,,,7
